,Group,Work,Technology,Transducer Type,Supply(V),Lmin,Pitch(µm),LNA Architecture,Pitch Matched,Transducer Capacitance (pF),Continuous Time,TGC Modality,Max Gain(dB),Gain Range(dB),Gain Error(\pm dB),Gain Settings #,Gain Step (dB),Center Frequency (F0 MHz),-3dB BW (MHz),IRNC @ F0 (pA/\sqrt{Hz}),IRNV @ F0 (nV/\sqrt{Hz}),IRNA @ F0 (mPa/\sqrt{Hz}),PSRR @ F0(dBc),Peak SNR@BW(dB),Power Dissipation(mW),Area (mm^2),DOI,Notes,PaperID,Architecture Category,Area ($mm^2$),FoM$_{LNA}$ (dB)
0,EI-TUDelft,PGuoJSSC2022,180nm CMOS-BCD,BULK,1.8,180nm,100,CL-CA,Yes,1.0,Yes,Interpolating,102dB\Ohmega,36dB,0.4,,,10.0,17.5,1.31,,,26,48.0,0.8,0.025,https://doi.org/10.1109/JSSC.2022.3200160,,JSSC2022,CL-CA,0.025,61.39948061694351
1,EI-TUDelft,MTanJSSC2018,180nm HVCMOS,BULK,1.9,180nm,100,TIA,No,0.7,Yes,PGA,119dB\Ohmega,12,3.0,3,5.9,13.0,16.0,2.00,,,16,42.0,0.79,0.027,https://doi.org/10.1109/JSSC.2018.2828826,Originally observed effect of PSRR in inter-channel sub-array IRN,JSSC2018,TIA,0.027,55.06492891365483
2,MEDR/CICS-MIT/ButterflyIQ,KChenJSSC2015,180nm CMOS-BCD,CMUT,1.8,180nm,250,TIA,No,2.0,Yes,PGA,116dB\Ohmega,12,3.0,4,104/110/113.5/116,8.0,10.2,0.41,,,,40.0,1.4,0.028,https://doi.org/10.1109/JSSC.2015.2505714,Defines an Acoustic Noise Efficiency Factor (ANEF) accounting for acoustic noise,JSSC2015,TIA,0.028,48.624721360836794
3,EI-TUDelft,EKangJSSC2020,180nm CMOS-BCD,CMUT,1.8,180nm,400,CL-CA,No,15,Yes,Interpolating,107dB\Ohmega,37,1.0,,,5.0,7.1,1.7,,,,51.0,5.2,0.120,https://doi.org/10.1109/JSSC.2020.3023618,Establishes the basis of Pengs Work.,JSSC2020,CL-CA,0.12,52.35255005084276
4,KNIT-SK/SK Hynix,JYongUmTCSII2021,180nm CMOS,,1.8,180nm,,OL-VA,No,,Yes,VGA,37,37,1.40,,,2.0,3.1,,8.6,,,40.0,0.96,0.025,https://doi.org/10.1109/TCSII.2021.3090424,Uses a cross-coupled harmonic injection NMOS pair for negative Gm modulation of the voltage-gain.,TCSII2021,OL-VA,0.025,45.090904607947046
5,MEDep. ITU,ICicekTUFFC2005,800nm CMOS-BCD,CMUT,5.0,800nm,200,TIA,Yes,4.5,Yes,,23,23,,1,,2.5,11.0,,6.5,,,,2.0,0.040,https://doi.org/10.1109/TUFFC.2005.1563266,Older work establishing which metrics to take into consideration regarding input sensitivity.,TUFFC2005,TIA,0.04,
6,ELG Lab./SCIS Stanford Uni.,IOWygantTUFFC2009,1.5µm HVCMOS,CMUT,5.0,1500nm,250,TIA,No,2.0,Yes,,112dB\Ohmega,,,1,,4.4,25.0,0.28,,0.9,,40.0,9.0,,https://doi.org/10.1109/TUFFC.2009.1297,Old technology with base work for CMUT-on-CMOS flip-chip bonding procedures using solder bumps implanted on the top metal surface.,TUFFC2009,TIA,,44.43697499232713
7,CICS-MIT,KChenJSSC2013,180nm HVCMOS,CMUT,1.8,180nm,300,TIA,Yes,40.0,Yes,,96.6,,1,1,,3.0,5.4,,9.21,0.55,47,40.0,14.3,0.0825,https://doi.org/10.1109/JSSC.2013.2274895,Very interesting charge-pump DC-DC converter for HV rect wave generation.,JSSC2013,TIA,0.0825,35.77057722357907
8,DIII-Pavia Uni. Italy,MSauttoESSCIRC2014,180nm BCD-SOI,CMUT,1.8,180nm,,TIA,No,5.0,Yes,CMUT-bias,14.2,14.2,,,,10.0,39.5,,21.2,0.55,20,40.0,1.0,0.030,https://doi.org/10.1109/ESSCIRC.2014.6942108,Defines a linearized approximation of the transducers sensitivity and establishes a direct translation between the received pressure and the output voltage of the US transducer.,ESSCIRC2014,TIA,0.03,55.9659709562646
9,EI-TUDelft,CChenESSCIRC2015,180nm CMOS-BCD,BULK,1.8,180nm,200,CL-VA,Yes,~3.5,Yes,Discrete,24,36,,3,18,4.0,9.8,,5.9,0.6,45.0,50.0,0.135,0.01,https://doi.org/10.1109/ESSCIRC.2015.7313913,Very important base work defining the importance of the PSRR parameter to be similar to the input referred noise figure.,ESSCIRC2015,CL-VA,0.01,68.60892307197489
