Group,Work,Tech Node,Raw RF Data Access,Architecture,Framerate-Channel Reduction Tradeoff,Output Driver Bandwidth-Channel Reduction Tradeoff,Framerate (FPS),Power Dissipation/Elem. (mW),Active Area (mm^2),Ch. Compression Ratio,Clock Speed (MHz),Noise Averaging,IRNC ($pA/\sqrt{Hz}$),IRNV ($nV/\sqrt{Hz}$),IRNA ($mPa/\sqrt{Hz}$),Center Freq. F0 (MHz),-3dB BW (MHz),DOI,Notes
EI-TUDelft,NurielRJSSC2025,180nm BCD-CMOS,No,2x2:µBF & 2x1:A-TDM,Yes,Yes,<2000,0.95,0.12,8,62.5,Yes,NR,NR,0.452,2.5,2.4,https://doi.org/10.1109/JSSC.2025.3534087,NR
EI-TUDelft,YHopfJSSC2024,180nm BCD-CMOS,No,3x1:µBF & 6x1:D-TDM,Yes,Yes,<=1000,1.12,0.030,18,240,Yes,NR,NR,0.6,4.0,9.8,https://doi.org/10.1109/JSSC.2023.3299749,NR
SCEE-GIT,ARezvanitabarTBCAS2022,180nm BCD-HVCMOS,No,5x1:µBF & 8x1:A-TDM,Yes,Yes,<=1000,4.65,0.150,40,200,Yes,NR,8.6,NR,5.0,12.0,https://doi.org/10.1109/TBCAS.2022.3205024,NR
EI-TUDelft,CChenJSSC2018,180nm BCD-CMOS,No,9x1:µBF & 4x1:D-TDM,Yes,Yes,<1000,0.91,0.026,36,30.0,Yes,NR,6.3,NR,5.0,11.9,https://doi.org/10.1109/JSSC.2018.2864295,NR
EI-TUDelft,PGuoJSC2024,180nm BCD-CMOS,No,2x2:µBF & 8x1:A-TDM & 4:1:D-PAM DL & SAI,Yes,Yes,<1000,1.83,0.048,32,480,Yes,0.7,NR,NR,9.0,14.3,https://doi.org/10.1109/JSSC.2024.3355854,PAM scheme to allow for a very high compression ratio of the output data containing the concatenated ADC words. Note SAI = Synthetic Aperture Imaging
ButterflyIQ,NSanchezISSCC2021 & JRothbergPNAS2021,130nm BCD-MEMS,Yes,8x1:CES-AVRG & 4x1:D-TDM & SAI,No,Yes,>2000,0.9,0.043,32,160,Yes,NR,NR,0.5,5.0,10.7,https://doi.org/10.1109/ISSCC42613.2021.9365808,Originated the first Butterfly IQ handeld state of the art probe.
ButterflyIQ,NSanchezISSCC2021 & JRothbergPNAS2021,130nm BCD-MEMS,Yes,8x1:CES-AVRG & 4x1:D-TDM & SAI,No,Yes,>2000,0.9,0.043,32,160,Yes,NR,NR,0.5,5.0,10.7,https://doi.org/10.1073/pnas.2019339118,Originated the first Butterfly IQ handeld state of the art probe.
SME/SCEE-GIT,TCarpenterTUFFC2016,350nm 2P4M,Yes,8x1:A-TDM,No,Yes,<2000,0.48,0.208,8,200,No,NR,NR,NR,7.0,5.0,https://doi.org/10.1109/TUFFC.2016.2557622,NR
ME/SCEE-GIT,MWRashidULTSYM2014,350nm CMOS,Yes,8x1:A-OFDM,No,Yes,>1000,7.25,0.154,8,320,Yes,16,NR,NR,7.0,20.0,https://doi.org/10.1109/ULTSYM.2014.0381,The TIA's bandwidth is simulated only from post layout.
MITUS-TUD,DDias2025,28nm TSMC CMOS,Yes,8x1:CMUX,No,No,>1000,0.56,0.0198,8,50,Yes,NR,5.2,NR,2.0,25.0,,Post Layout Sim. Results This work
